Comunidades y Ciudades Autónomas;Periodo;Total
04 Balears, Illes;1996;15,6
04 Balears, Illes;1995;15,5
04 Balears, Illes;1994;15,88
04 Balears, Illes;1993;16,14
04 Balears, Illes;1992;17,36
04 Balears, Illes;1991;15,14
04 Balears, Illes;1990;5,12
04 Balears, Illes;1989;6,28
04 Balears, Illes;1988;7,38
04 Balears, Illes;1987;7,39
04 Balears, Illes;1986;7,41
04 Balears, Illes;1985;8,1
04 Balears, Illes;1984;8,62
04 Balears, Illes;1983;8,26
04 Balears, Illes;1982;9,8
04 Balears, Illes;1981;12,29
04 Balears, Illes;1980;17,3
04 Balears, Illes;1979;17,68
04 Balears, Illes;1978;18,16
04 Balears, Illes;1977;18,74
04 Balears, Illes;1976;20,16
04 Balears, Illes;1975;20,58
05 Canarias;2021;3,5
05 Canarias;2020;3,29
05 Canarias;2019;13,55
05 Canarias;2018;13,64
05 Canarias;2017;10,23
05 Canarias;2016;9,2
05 Canarias;2015;4,26
05 Canarias;2014;5,33
05 Canarias;2013;4,56
05 Canarias;2012;9,22
05 Canarias;2011;10,15
05 Canarias;2010;9,6
05 Canarias;2009;9,68
05 Canarias;2008;16,69
05 Canarias;2007;23,31
05 Canarias;2006;24,18
05 Canarias;2005;24,76
05 Canarias;2004;26,77
05 Canarias;2003;27,29
05 Canarias;2002;29,96
05 Canarias;2001;15,33
05 Canarias;2000;11,35
05 Canarias;1999;11,35
05 Canarias;1998;10,74
05 Canarias;1997;11,26
05 Canarias;1996;11,29
05 Canarias;1995;11,79
05 Canarias;1994;11,95
05 Canarias;1993;12,27
05 Canarias;1992;13,11
05 Canarias;1991;11,85
05 Canarias;1990;6,26
05 Canarias;1989;7,11
05 Canarias;1988;7,68
05 Canarias;1987;8,06
05 Canarias;1986;8,46
05 Canarias;1985;8,55
05 Canarias;1984;9,5
05 Canarias;1983;10,25
05 Canarias;1982;11,28
05 Canarias;1981;13,22
05 Canarias;1980;15,45
05 Canarias;1979;16,16
05 Canarias;1978;16,67
05 Canarias;1977;17,67
05 Canarias;1976;18,52
05 Canarias;1975;19,49
06 Cantabria;2021;1,22
06 Cantabria;2020;2,18
06 Cantabria;2019;1,28
06 Cantabria;2018;0,6
06 Cantabria;2017;-0,31
06 Cantabria;2016;-1,77
06 Cantabria;2015;-4,89
06 Cantabria;2014;-3,96
06 Cantabria;2013;-4
06 Cantabria;2012;-3,98
06 Cantabria;2011;2,56
06 Cantabria;2010;4
06 Cantabria;2009;6,58
06 Cantabria;2008;12,71
06 Cantabria;2007;15,85
06 Cantabria;2006;12,67
06 Cantabria;2005;11,38
06 Cantabria;2004;12,13
06 Cantabria;2003;11,68
06 Cantabria;2002;9,95
06 Cantabria;2001;3,85
06 Cantabria;2000;1,53
06 Cantabria;1999;0,79
06 Cantabria;1998;0,81
06 Cantabria;1997;1,07
06 Cantabria;1996;0,74
06 Cantabria;1995;0,78
06 Cantabria;1994;1,2
06 Cantabria;1993;1,63
06 Cantabria;1992;2,19
06 Cantabria;1991;1,82
06 Cantabria;1990;-0,23
06 Cantabria;1989;0,04
06 Cantabria;1988;1,02
06 Cantabria;1987;1,98
06 Cantabria;1986;2,17
06 Cantabria;1985;2,61
06 Cantabria;1984;3,67
06 Cantabria;1983;4,45
06 Cantabria;1982;5,87
06 Cantabria;1981;7,17
06 Cantabria;1980;6,94
06 Cantabria;1979;7,37
06 Cantabria;1978;9,54
06 Cantabria;1977;9,39
06 Cantabria;1976;10,1
06 Cantabria;1975;9,34
07 Castilla y León;2021;-4,19
07 Castilla y León;2020;-6,13
07 Castilla y León;2019;-2,67
07 Castilla y León;2018;-4,49
07 Castilla y León;2017;-7,14
07 Castilla y León;2016;-7,61
07 Castilla y León;2015;-9,59
07 Castilla y León;2014;-7,09
07 Castilla y León;2013;-9,11
07 Castilla y León;2012;-7,57
07 Castilla y León;2011;-3
07 Castilla y León;2010;-0,83
07 Castilla y León;2009;-0,69
07 Castilla y León;2008;2,93
07 Castilla y León;2007;10,88
07 Castilla y León;2006;7,8
07 Castilla y León;2005;4,77
07 Castilla y León;2004;4,72
07 Castilla y León;2003;3,04
07 Castilla y León;2002;3,57
07 Castilla y León;2001;-3,51
07 Castilla y León;2000;-3,8
07 Castilla y León;1999;-4,34
07 Castilla y León;1998;-4,25
07 Castilla y León;1997;-3,45
07 Castilla y León;1996;-3,66
07 Castilla y León;1995;-3,45
07 Castilla y León;1994;-3,03
07 Castilla y León;1993;-2,77
07 Castilla y León;1992;-2,41
07 Castilla y León;1991;-2,77
07 Castilla y León;1990;-4,32
07 Castilla y León;1989;-3,39
07 Castilla y León;1988;-3,1
07 Castilla y León;1987;-2,2
07 Castilla y León;1986;-1,73
07 Castilla y León;1985;-1,26
07 Castilla y León;1984;-0,28
07 Castilla y León;1983;-0,01
07 Castilla y León;1982;1,22
07 Castilla y León;1981;0,55
07 Castilla y León;1980;-4,11
07 Castilla y León;1979;-3,75
07 Castilla y León;1978;-3,27
07 Castilla y León;1977;-3,31
07 Castilla y León;1976;-2,84
07 Castilla y León;1975;-3,29
08 Castilla - La Mancha;2021;0,65
08 Castilla - La Mancha;2020;1,52
08 Castilla - La Mancha;2019;5,24
08 Castilla - La Mancha;2018;1,12
08 Castilla - La Mancha;2017;-4,1
08 Castilla - La Mancha;2016;-3,9
08 Castilla - La Mancha;2015;-6,75
08 Castilla - La Mancha;2014;-6,01
08 Castilla - La Mancha;2013;-9,21
08 Castilla - La Mancha;2012;-5,5
08 Castilla - La Mancha;2011;3,27
08 Castilla - La Mancha;2010;6,98
08 Castilla - La Mancha;2009;8,7
08 Castilla - La Mancha;2008;16,87
08 Castilla - La Mancha;2007;30,25
08 Castilla - La Mancha;2006;27,7
08 Castilla - La Mancha;2005;22,92
08 Castilla - La Mancha;2004;21,87
08 Castilla - La Mancha;2003;20,06
08 Castilla - La Mancha;2002;18,93
08 Castilla - La Mancha;2001;6,54
08 Castilla - La Mancha;2000;5,47
08 Castilla - La Mancha;1999;4,97
08 Castilla - La Mancha;1998;4,76
08 Castilla - La Mancha;1997;5,4
08 Castilla - La Mancha;1996;5,02
08 Castilla - La Mancha;1995;5,54
08 Castilla - La Mancha;1994;5,74
08 Castilla - La Mancha;1993;5,86
08 Castilla - La Mancha;1992;6,58
08 Castilla - La Mancha;1991;4,99
08 Castilla - La Mancha;1990;-0,68
08 Castilla - La Mancha;1989;-0,49
08 Castilla - La Mancha;1988;-0,24
08 Castilla - La Mancha;1987;0,17
08 Castilla - La Mancha;1986;0,28
08 Castilla - La Mancha;1985;0,07
08 Castilla - La Mancha;1984;1,1
08 Castilla - La Mancha;1983;1,19
08 Castilla - La Mancha;1982;2,49
08 Castilla - La Mancha;1981;1,37
08 Castilla - La Mancha;1980;-4,89
08 Castilla - La Mancha;1979;-5,3
08 Castilla - La Mancha;1978;-4,95
08 Castilla - La Mancha;1977;-5,12
08 Castilla - La Mancha;1976;-4,32
08 Castilla - La Mancha;1975;-4,86
09 Cataluña;2021;1,04
09 Cataluña;2020;2,47
09 Cataluña;2019;11,29
09 Cataluña;2018;10,34
09 Cataluña;2017;6,39
09 Cataluña;2016;4,43
09 Cataluña;2015;1,53
09 Cataluña;2014;-2,6
09 Cataluña;2013;-8,69
09 Cataluña;2012;-4,55
09 Cataluña;2011;2,9
09 Cataluña;2010;3,98
09 Cataluña;2009;4,89
09 Cataluña;2008;15,72
09 Cataluña;2007;22,05
09 Cataluña;2006;19,9
09 Cataluña;2005;20,17
09 Cataluña;2004;23,31
09 Cataluña;2003;23,47
09 Cataluña;2002;27,26
09 Cataluña;2001;10,37
09 Cataluña;2000;5,04
09 Cataluña;1999;4,04
09 Cataluña;1998;3,91
09 Cataluña;1997;4,02
09 Cataluña;1996;3,88
09 Cataluña;1995;3,75
09 Cataluña;1994;4,05
09 Cataluña;1993;4,2
09 Cataluña;1992;4,61
09 Cataluña;1991;3,46
09 Cataluña;1990;-0,53
09 Cataluña;1989;0,08
09 Cataluña;1988;0,71
09 Cataluña;1987;1,16
09 Cataluña;1986;1,65
09 Cataluña;1985;2,37
09 Cataluña;1984;2,62
09 Cataluña;1983;2,28
09 Cataluña;1982;3,75
09 Cataluña;1981;5,62
09 Cataluña;1980;11,48
09 Cataluña;1979;12,28
09 Cataluña;1978;13,84
09 Cataluña;1977;15,06
09 Cataluña;1976;15,5
09 Cataluña;1975;16,51
10 Comunitat Valenciana;2021;5,05
10 Comunitat Valenciana;2020;3,51
10 Comunitat Valenciana;2019;10,88
10 Comunitat Valenciana;2018;5,81
10 Comunitat Valenciana;2017;2,26
10 Comunitat Valenciana;2016;0,56
10 Comunitat Valenciana;2015;-1,49
10 Comunitat Valenciana;2014;-3,39
10 Comunitat Valenciana;2013;-6,16
10 Comunitat Valenciana;2012;-4,53
10 Comunitat Valenciana;2011;2,09
10 Comunitat Valenciana;2010;1,92
10 Comunitat Valenciana;2009;1,68
10 Comunitat Valenciana;2008;10,72
10 Comunitat Valenciana;2007;25,98
10 Comunitat Valenciana;2006;25,46
10 Comunitat Valenciana;2005;24,62
10 Comunitat Valenciana;2004;27,85
10 Comunitat Valenciana;2003;27,36
10 Comunitat Valenciana;2002;30,5
10 Comunitat Valenciana;2001;13,76
10 Comunitat Valenciana;2000;7,62
10 Comunitat Valenciana;1999;6,71
10 Comunitat Valenciana;1998;6,65
10 Comunitat Valenciana;1997;6,54
10 Comunitat Valenciana;1996;6,55
10 Comunitat Valenciana;1995;6,86
10 Comunitat Valenciana;1994;6,85
10 Comunitat Valenciana;1993;7,41
10 Comunitat Valenciana;1992;7,81
10 Comunitat Valenciana;1991;6,93
10 Comunitat Valenciana;1990;3,68
10 Comunitat Valenciana;1989;3,79
10 Comunitat Valenciana;1988;4,2
10 Comunitat Valenciana;1987;4,76
10 Comunitat Valenciana;1986;5,14
10 Comunitat Valenciana;1985;5,49
10 Comunitat Valenciana;1984;6,53
10 Comunitat Valenciana;1983;6,57
10 Comunitat Valenciana;1982;7,89
10 Comunitat Valenciana;1981;9,89
10 Comunitat Valenciana;1980;14,12
10 Comunitat Valenciana;1979;15,16
10 Comunitat Valenciana;1978;16,22
10 Comunitat Valenciana;1977;17,23
10 Comunitat Valenciana;1976;17,7
10 Comunitat Valenciana;1975;17,33
11 Extremadura;2021;-4,44
11 Extremadura;2020;-3,76
11 Extremadura;2019;-3,24
11 Extremadura;2018;-4,71
11 Extremadura;2017;-6,57
11 Extremadura;2016;-6,9
11 Extremadura;2015;-6,12
11 Extremadura;2014;-4,39
11 Extremadura;2013;-4,14
11 Extremadura;2012;-3,06
11 Extremadura;2011;1,85
11 Extremadura;2010;2,45
11 Extremadura;2009;4,48
11 Extremadura;2008;4,62
11 Extremadura;2007;7,16
11 Extremadura;2006;6,44
11 Extremadura;2005;4,51
11 Extremadura;2004;5,36
11 Extremadura;2003;3,78
11 Extremadura;2002;2,42
11 Extremadura;2001;-1,15
11 Extremadura;2000;-0,96
11 Extremadura;1999;-1,49
11 Extremadura;1998;-1,29
11 Extremadura;1997;-0,85
11 Extremadura;1996;-0,77
11 Extremadura;1995;-0,35
11 Extremadura;1994;0,28
11 Extremadura;1993;0,37
11 Extremadura;1992;1,2
11 Extremadura;1991;0,35
11 Extremadura;1990;-2,37
11 Extremadura;1989;-1,83
11 Extremadura;1988;-1,1
11 Extremadura;1987;-0,5
11 Extremadura;1986;-0,46
11 Extremadura;1985;-0,36
11 Extremadura;1984;0,33
11 Extremadura;1983;0,43
11 Extremadura;1982;1,94
11 Extremadura;1981;-0,07
11 Extremadura;1980;-9,37
11 Extremadura;1979;-9,73
11 Extremadura;1978;-9,95
11 Extremadura;1977;-10,19
11 Extremadura;1976;-9,69
11 Extremadura;1975;-9,7
12 Galicia;2021;-2,01
12 Galicia;2020;-2,12
12 Galicia;2019;0,8
12 Galicia;2018;-1
12 Galicia;2017;-2,58
12 Galicia;2016;-3,68
12 Galicia;2015;-5,34
12 Galicia;2014;-4,59
12 Galicia;2013;-5,36
12 Galicia;2012;-3,6
12 Galicia;2011;-0,54
12 Galicia;2010;0,35
12 Galicia;2009;1,8
12 Galicia;2008;4,6
12 Galicia;2007;4,98
12 Galicia;2006;4,02
12 Galicia;2005;3,46
12 Galicia;2004;3,35
12 Galicia;2003;2,37
12 Galicia;2002;3,09
12 Galicia;2001;-0,45
12 Galicia;2000;-1,65
12 Galicia;1999;-2,01
12 Galicia;1998;-1,68
12 Galicia;1997;-1,68
12 Galicia;1996;-1,97
12 Galicia;1995;-1,75
12 Galicia;1994;-1,1
12 Galicia;1993;-0,41
12 Galicia;1992;-0,23
12 Galicia;1991;-1,35
12 Galicia;1990;-5,77
12 Galicia;1989;-4,9
12 Galicia;1988;-4,31
12 Galicia;1987;-3,44
12 Galicia;1986;-3,77
12 Galicia;1985;-2,76
12 Galicia;1984;-1,64
12 Galicia;1983;-1,31
12 Galicia;1982;-0,35
12 Galicia;1981;1,49
12 Galicia;1980;4,27
12 Galicia;1979;4,41
12 Galicia;1978;5,26
12 Galicia;1977;5,13
12 Galicia;1976;5,46
12 Galicia;1975;5,16
13 Madrid, Comunidad de;2021;2,01
13 Madrid, Comunidad de;2020;1,3
13 Madrid, Comunidad de;2019;15,77
13 Madrid, Comunidad de;2018;13,99
13 Madrid, Comunidad de;2017;11,19
13 Madrid, Comunidad de;2016;8,13
13 Madrid, Comunidad de;2015;6,09
13 Madrid, Comunidad de;2014;1,1
13 Madrid, Comunidad de;2013;-5,7
13 Madrid, Comunidad de;2012;-1,69
13 Madrid, Comunidad de;2011;4,89
13 Madrid, Comunidad de;2010;3,24
13 Madrid, Comunidad de;2009;7,23
13 Madrid, Comunidad de;2008;16,14
13 Madrid, Comunidad de;2007;24,58
13 Madrid, Comunidad de;2006;20,22
13 Madrid, Comunidad de;2005;14,79
13 Madrid, Comunidad de;2004;17,15
13 Madrid, Comunidad de;2003;22,38
13 Madrid, Comunidad de;2002;28,84
13 Madrid, Comunidad de;2001;18,38
13 Madrid, Comunidad de;2000;9,24
13 Madrid, Comunidad de;1999;8,48
13 Madrid, Comunidad de;1998;8,01
13 Madrid, Comunidad de;1997;8,37
13 Madrid, Comunidad de;1996;7,95
13 Madrid, Comunidad de;1995;7,97
13 Madrid, Comunidad de;1994;8,3
13 Madrid, Comunidad de;1993;8,71
13 Madrid, Comunidad de;1992;9,13
13 Madrid, Comunidad de;1991;7,44
13 Madrid, Comunidad de;1990;2,14
13 Madrid, Comunidad de;1989;3,31
13 Madrid, Comunidad de;1988;3,8
13 Madrid, Comunidad de;1987;4,66
13 Madrid, Comunidad de;1986;5,34
13 Madrid, Comunidad de;1985;5,61
13 Madrid, Comunidad de;1984;6,56
13 Madrid, Comunidad de;1983;6,83
13 Madrid, Comunidad de;1982;8,28
13 Madrid, Comunidad de;1981;10,16
13 Madrid, Comunidad de;1980;15,66
13 Madrid, Comunidad de;1979;17,67
13 Madrid, Comunidad de;1978;19,4
13 Madrid, Comunidad de;1977;21,04
13 Madrid, Comunidad de;1976;22,75
13 Madrid, Comunidad de;1975;23,17
14 Murcia, Región de;2021;6,23
14 Murcia, Región de;2020;5,44
14 Murcia, Región de;2019;11,51
14 Murcia, Región de;2018;8,18
14 Murcia, Región de;2017;1,76
14 Murcia, Región de;2016;4,43
14 Murcia, Región de;2015;1,84
14 Murcia, Región de;2014;1,35
14 Murcia, Región de;2013;-0,13
14 Murcia, Región de;2012;0,04
14 Murcia, Región de;2011;1,95
14 Murcia, Región de;2010;3,8
14 Murcia, Región de;2009;8,12
14 Murcia, Región de;2008;15,52
14 Murcia, Región de;2007;24,1
14 Murcia, Región de;2006;25,31
14 Murcia, Región de;2005;28,17
14 Murcia, Región de;2004;28,39
14 Murcia, Región de;2003;27,11
14 Murcia, Región de;2002;29,41
14 Murcia, Región de;2001;18,88
14 Murcia, Región de;2000;12,76
14 Murcia, Región de;1999;11,57
14 Murcia, Región de;1998;11,88
14 Murcia, Región de;1997;12,23
14 Murcia, Región de;1996;12,27
14 Murcia, Región de;1995;12,39
14 Murcia, Región de;1994;12,31
14 Murcia, Región de;1993;13,22
14 Murcia, Región de;1992;13,95
14 Murcia, Región de;1991;12,67
14 Murcia, Región de;1990;6,65
14 Murcia, Región de;1989;7,16
14 Murcia, Región de;1988;7,9
14 Murcia, Región de;1987;8,45
14 Murcia, Región de;1986;8,36
14 Murcia, Región de;1985;8,91
14 Murcia, Región de;1984;9,66
14 Murcia, Región de;1983;10,02
14 Murcia, Región de;1982;11,81
14 Murcia, Región de;1981;12,11
14 Murcia, Región de;1980;10,77
14 Murcia, Región de;1979;12,35
14 Murcia, Región de;1978;12,53
14 Murcia, Región de;1977;13,32
14 Murcia, Región de;1976;14,26
14 Murcia, Región de;1975;13,16
15 Navarra, Comunidad Foral de;2021;2,28
15 Navarra, Comunidad Foral de;2020;1,74
15 Navarra, Comunidad Foral de;2019;10,06
15 Navarra, Comunidad Foral de;2018;9,41
15 Navarra, Comunidad Foral de;2017;5,51
15 Navarra, Comunidad Foral de;2016;4,47
15 Navarra, Comunidad Foral de;2015;1,7
15 Navarra, Comunidad Foral de;2014;-0,08
15 Navarra, Comunidad Foral de;2013;-3,92
15 Navarra, Comunidad Foral de;2012;-1,68
15 Navarra, Comunidad Foral de;2011;4,58
15 Navarra, Comunidad Foral de;2010;6,43
15 Navarra, Comunidad Foral de;2009;9,11
15 Navarra, Comunidad Foral de;2008;16,99
15 Navarra, Comunidad Foral de;2007;22,76
15 Navarra, Comunidad Foral de;2006;17,91
15 Navarra, Comunidad Foral de;2005;13,23
15 Navarra, Comunidad Foral de;2004;13,84
15 Navarra, Comunidad Foral de;2003;14,77
15 Navarra, Comunidad Foral de;2002;18,55
15 Navarra, Comunidad Foral de;2001;9,73
15 Navarra, Comunidad Foral de;2000;6,69
15 Navarra, Comunidad Foral de;1999;6,28
15 Navarra, Comunidad Foral de;1998;6,24
15 Navarra, Comunidad Foral de;1997;6,41
15 Navarra, Comunidad Foral de;1996;6,07
15 Navarra, Comunidad Foral de;1995;5,84
15 Navarra, Comunidad Foral de;1994;6,06
15 Navarra, Comunidad Foral de;1993;6,02
15 Navarra, Comunidad Foral de;1992;6,26
15 Navarra, Comunidad Foral de;1991;4,94
15 Navarra, Comunidad Foral de;1990;-0,25
15 Navarra, Comunidad Foral de;1989;0,73
15 Navarra, Comunidad Foral de;1988;1,23
15 Navarra, Comunidad Foral de;1987;1,05
15 Navarra, Comunidad Foral de;1986;1,62
15 Navarra, Comunidad Foral de;1985;1,76
15 Navarra, Comunidad Foral de;1984;2,88
15 Navarra, Comunidad Foral de;1983;3,04
15 Navarra, Comunidad Foral de;1982;3,9
15 Navarra, Comunidad Foral de;1981;4,94
15 Navarra, Comunidad Foral de;1980;5,72
15 Navarra, Comunidad Foral de;1979;6,7
15 Navarra, Comunidad Foral de;1978;7,69
15 Navarra, Comunidad Foral de;1977;8,8
15 Navarra, Comunidad Foral de;1976;9,4
15 Navarra, Comunidad Foral de;1975;9,42
16 País Vasco;2021;-4,13
16 País Vasco;2020;-1,48
16 País Vasco;2019;5,16
16 País Vasco;2018;3,23
16 País Vasco;2017;1,65
16 País Vasco;2016;1,49
16 País Vasco;2015;-0,48
16 País Vasco;2014;-0,95
16 País Vasco;2013;-4,53
16 País Vasco;2012;-3,53
16 País Vasco;2011;0,72
16 País Vasco;2010;1,65
16 País Vasco;2009;2,5
16 País Vasco;2008;6,76
16 País Vasco;2007;7,82
16 País Vasco;2006;7
16 País Vasco;2005;5,85
16 País Vasco;2004;5,77
16 País Vasco;2003;4,99
16 País Vasco;2002;4,66
16 País Vasco;2001;-0,03
16 País Vasco;2000;-0,75
16 País Vasco;1999;-1,12
16 País Vasco;1998;-1,39
16 País Vasco;1997;-1,02
16 País Vasco;1996;-1,42
16 País Vasco;1995;-1,47
16 País Vasco;1994;-1,16
16 País Vasco;1993;-0,87
16 País Vasco;1992;-0,53
16 País Vasco;1991;-1,47
16 País Vasco;1990;-4,96
16 País Vasco;1989;-4,06
16 País Vasco;1988;-3,45
16 País Vasco;1987;-2,82
16 País Vasco;1986;-2,16
16 País Vasco;1985;-1,71
16 País Vasco;1984;-0,69
16 País Vasco;1983;0,05
16 País Vasco;1982;1,25
16 País Vasco;1981;3,03
16 País Vasco;1980;8,37
16 País Vasco;1979;9,73
16 País Vasco;1978;11,58
16 País Vasco;1977;13,33
16 País Vasco;1976;14,88
16 País Vasco;1975;14,59
17 Rioja, La;2021;-0,83
17 Rioja, La;2020;0,78
17 Rioja, La;2019;7,5
17 Rioja, La;2018;2,2
17 Rioja, La;2017;0,85
17 Rioja, La;2016;-0,61
17 Rioja, La;2015;-2,43
17 Rioja, La;2014;-5,27
17 Rioja, La;2013;-10,78
17 Rioja, La;2012;-7,22
17 Rioja, La;2011;0,31
17 Rioja, La;2010;2,85
17 Rioja, La;2009;0,48
17 Rioja, La;2008;11,29
17 Rioja, La;2007;25,85
17 Rioja, La;2006;17,78
17 Rioja, La;2005;15,46
17 Rioja, La;2004;23,67
17 Rioja, La;2003;22,5
